mergedPR,label,sha,owner,group_id,#Churn,#Commits,#FilesChanged,JS_files,MaxJsPrFiles,MeanJsPrFiles,NumOverlapfiles,RateMergedPr,RateOverlapFiles,RateOverlapFilesSelf,RatePrCommits,TimecommitsEntropy,TwoCommit,file_rejected_proportion,last_10_merged,last_10_rejected,last_pr,prNum,pr_1Mon_files_Jaccard_Similarity_Self
0.0,1,['22cab9256a56f9fb1e91cb473ae6322335702b4b'],gengjiawen,748,2.0,1.0,1.0,0.0005896226415094,1.0,0.4782380952380952,1.0,0.0,0.00040733197556,1.0,2.125,0.0,0.0,1.0,2.0,8.0,1.0,40.0,1.0
0.0,1,"['0a0dc00bba8d8e10b74e3238a4fc87d45f72a606', '6e1fdb818751005df80ab0c88b659bc393673436']",danbev,585,11.0,2.0,1.0,0.0011709601873536,0.5,0.1055555555555555,1.0,0.0,0.0006724949562878,1.0,36.81818181818182,0.0,0.0,1.0,1.0,9.0,0.0,33.0,1.0
0.0,1,['334f8555600b3dd4a2c875914124a0bbb9547613'],bengl,461,6.0,1.0,2.0,0.0006644518272425,0.0046728971962616,0.0009345794392523,1.0,0.0,0.0008764241893076,0.5,17.333333333333332,0.0,0.0,0.5,0.0,10.0,0.0,3.0,0.5
0.0,1,['d38ac75f9fe8d850524959c140a359645b7992c6'],jagannathBhat,844,16.0,1.0,1.0,0.0010940919037199,1.0,0.8,1.0,0.0,0.000570125427594,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0
0.0,1,"['aaa32222f1feaf9382cba7ebf65abea4cf2cb07a', 'f6de871808249a5b2d44ea20912c2c980350ee37']",imatveev,821,22.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0005868544600938,1.0,2.5,-0.0,0.8725,1.0,0.0,10.0,0.0,2.0,0.0
0.0,1,['cc4a64e87768e9df673c7142173c28ea9a6fd375'],Trott,307,33.0,1.0,1.0,0.0006138735420503,0.0033333333333333,0.0006666666666666,0.0,0.0,0.0,0.0,4.055555555555555,0.0,0.0,1.0,3.0,7.0,0.0,36.0,1.0
0.0,1,['e701d33a2a32abdd130b460a8313d5293e809b57'],santigimeno,1364,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0005878894767783,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
0.0,1,['0640bb101982cdfff4e6af0d5c71e179391d6d03'],trendsetter37,1544,38.0,1.0,2.0,0.0004972650422675,0.5,0.1,1.0,0.0,0.0004712535344015,0.5,0.0,0.0,0.0,0.5,0.0,10.0,0.0,0.0,0.5
0.0,1,"['1e672cd3ffb33ffb8d6811c20034162ccc952bcb', 'e0dc6cd06d86e7fa7b38b900acfbe3759a5e7698']",kjin,980,124.0,2.0,2.0,0.0004539264639128,0.0434782608695652,0.008695652173913,0.0,0.0,0.0,0.0,50.0,-0.0,1075.22,0.5,0.0,10.0,0.0,1.0,0.5
0.0,1,['e37c3297f7c9df3594655f9fccc0ada754de8cb4'],danbev,585,77.0,1.0,11.0,0.0008733624454148,0.0909090909090909,0.0181818181818181,11.0,0.0,0.0066585956416464,1.0,27.77777777777778,0.0,0.0,0.4545454545454545,1.0,9.0,0.0,45.0,0.0909090909090909
0.0,1,['bb48b2b3becd0c0e5cefe75f220a816bd828281e'],TimothyGu,299,37.0,1.0,3.0,0.0010084033613445,1.0,0.3077432712215321,3.0,0.0,0.0012024048096192,1.0,24.73333333333333,0.0,0.0,1.0,0.0,10.0,0.0,15.0,1.0
1.0,1,['d6664eb3d7aa5c63b64a8ca856ddbd14304562bd'],BethGriggs,39,2.0,1.0,1.0,0.0003170577045022,1.0,1.0,1.0,0.0,0.0006176652254478,1.0,23.666666666666668,0.0,0.0,1.0,0.0,10.0,0.0,3.0,1.0
1.0,1,['573744caaedf2f941e152b8e9533cd5629d55c1c'],cjihrig,550,17.0,1.0,4.0,0.0005903187721369,0.25,0.0625,4.0,0.75,0.0026143790849673,1.0,26.78125,0.0,0.0,0.75,0.0,10.0,0.0,32.0,0.25
0.0,1,['243cf4b4239ed65186e510923c816c408b6cfef1'],targos,1495,8.0,1.0,2.0,0.0004755111745126,0.25,0.05,2.0,0.0,0.0008806693086745,1.0,75.03703703703704,0.0,0.0,1.0,0.0,10.0,0.0,27.0,0.5
0.0,1,['9f82402dfadc98bd3630b8f42bc866fb29fc66cc'],Trott,307,4.0,1.0,1.0,0.0004970178926441,0.1666666666666666,0.0333333333333333,1.0,0.0,0.0005035246727089,1.0,28.714285714285715,0.0,0.0,1.0,0.0,10.0,0.0,126.0,1.0
0.0,1,"['b382dc65bd40e5cb7dd5b6b83a3263ce4d696055', 'e7b819f36a35fbd43fadb6c8fc1e3c681187727d']",iamchenxin,809,187.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0006451612903225,1.0,0.0,-0.0,66.4728,1.0,1.0,9.0,0.0,0.0,0.0
0.0,1,['11dd5052ce21a2bb5b711f8833810ce6d246b2ab'],BridgeAR,44,170.0,1.0,5.0,0.0017559262510974,0.2222222222222222,0.1796825396825396,4.0,0.2352941176470588,0.0019694731659281,0.8,10.470588235294118,0.0,0.0,0.8,1.0,9.0,0.0,17.0,0.8
0.0,1,['a5ec950f19d01abf555806dff8ff977792cf1c7c'],addaleax,344,4.0,1.0,1.0,0.000307881773399,0.5,0.2685714285714285,1.0,0.0454545454545454,0.0003641660597232,1.0,5.386363636363637,0.0,0.0,1.0,1.0,9.0,1.0,44.0,1.0
0.0,1,['ffba46781470f69f7de1d090145be3c043e7cfd2'],mckalexee,1096,3.0,1.0,1.0,0.0004578754578754,0.0029239766081871,0.0005847953216374,1.0,0.0,0.0004484304932735,1.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,1.0
0.0,1,['f5e5d65dda555a2fe791c6e54be5b711f7404509'],andrewmash,393,2.0,1.0,1.0,0.0004187604690117,1.0,0.75,1.0,0.0,0.0004268032437046,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0
0.0,1,['78e4a79b2782e773732e13086f0f3cce90b3efd0'],BridgeAR,44,7.0,1.0,1.0,0.0005339028296849,1.0,0.85,1.0,0.0144927536231884,0.0004101722723543,1.0,33.82608695652174,0.0,0.0,1.0,0.0,10.0,0.0,69.0,1.0
0.0,1,['6d49b242b8e54badf0725974983da83d4add3e5b'],BridgeAR,44,41.0,1.0,2.0,0.0011827321111768,0.2,0.04,2.0,0.0161290322580645,0.0008149959250203,1.0,37.41935483870968,0.0,0.0,1.0,4.0,6.0,1.0,62.0,1.0
0.0,1,['e9597e948d2bf3642db1a93fc728ab2589f693cc'],davedoesdev,597,45.0,1.0,2.0,0.0006184291898577,0.5,0.2159371833839919,2.0,0.0,0.000581226387678,1.0,14.0,0.0,0.0,0.5,1.0,9.0,0.0,1.0,0.5
0.0,1,"['4f3e6b5241691a0ccbcd54dc83af9bf4305f51dd', '5839573eefa8cb7ea9424d7fd1b79e2c7e68d91f']",Frijol,103,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.143889,1.0,3.0,7.0,0.0,0.0,0.0
0.0,1,['b32650833107501655a0c20674f8ad2c1350d1a6'],aqrln,414,5.0,1.0,1.0,0.0006101281269066,1.0,0.4046246487354477,1.0,0.0,0.0006565988181221,1.0,5.0,0.0,0.0,1.0,0.0,10.0,0.0,8.0,1.0
0.0,1,['893b461468d0988ea0d7c7be8c8ed3d11f9f5138'],danbev,585,30.0,1.0,2.0,0.0008442380751371,0.5,0.5,2.0,0.0,0.0014164305949008,1.0,22.976190476190474,0.0,0.0,1.0,0.0,10.0,0.0,42.0,1.0
