predict_flag,true_flag,predicted_flag
['64d4398c2838cc20ea8188939cddb6dfe63703d7'],0.0,0.0
['e042946bce0542b9e057cb31e8199aa348eee3c4'],0.0,0.0
['2c398c3db30c55e8bfaa320572fba8fbe625d3e3'],0.0,0.0
['936ac681b2f5cf58cd2f1069ccc1720c7981e00e'],1.0,
['af2c41eccc48c39eb78aaae4d306abc1ea0e531f'],0.0,
['5700fc86844e2b6860bfbc2dbfa4be26e1c8fd7c'],0.0,0.0
['01ef76a5ad062d421053879948003a9d07f0f4c8'],0.0,0.0
['18389f92cf8e5f27ca1964fca42a148f64f4edea'],0.0,0.0
['8485e67df322cea0e7e8bd9f22d40bcf6be67651'],0.0,0.0
"['7ded10e195a45dd343ad7e9acb5a09f09418b31f', 'aa8eb2ad1824bbe6ae683093ec35b0fac365b25c']",0.0,0.0
['13f8e4f8f4f4eeb7fbdf0aadd6bb9d696c07190a'],-1.0,1.0
['476b971496219d04ade59aaccabeea856ff5d94a'],0.0,1.0
['269328b7b13705cd488f1ecc1e3de8d7831e01b2'],0.0,0.0
['98f9b2b9fcda296802eeea41c125e7b46fe99a33'],0.0,0.0
['013a5270966bcb58b7719486a15f2971fa3652a8'],0.0,0.0
['757666cbeefc762623e5a1757ce1fa9340a7ffb2'],0.0,0.0
['3585e6a0fac9e4299dc0d7f4d07a0a70270a7a56'],0.0,0.0
['d680c52659ee402f656ab101023906bae7e63508'],0.0,0.0
['e8615171176b87260b7daabe91435ee007b1b584'],-1.0,1.0
['e086861d5983aec047f3f62dd857772cdbeeaedd'],0.0,0.0
['3b97de70607cc7be0e5f358c0731271acad3c17a'],1.0,1.0
['4461628e1b959642e2aa051b28dab9f7cfceb6bc'],-1.0,0.0
['52026a0e22eb7d510039e154827db986cb7e103d'],0.0,1.0
"['d705e13fb1e21a0dcc1b1dd5ebb58944533575af', 'e8e1ea08e5ab80a4b5347d46993e22a4ab67a49c', 'e8e1ea08e5ab80a4b5347d46993e22a4ab67a49c']",0.0,0.0
['4041623caaa5cc8f804c7669370ebf5662589f02'],-1.0,0.0
"['1666e19264076633b3a0c214cdb1355b2da53005', '1aae480b5a746b89da57290bdeb6b67c6a99526f', '75135f82b7a7341cd2e9eeee27c6f47f581f37c4']",0.0,0.0
['a7d92a57d25163f94152263195ed3eebe6ab2ccf'],0.0,0.0
['11cf27cc430b57a940e4e003c0de2f958a490019'],0.0,0.0
['fc164acbbb700fd50ab9c04b47fc1b2687e9c0f4'],0.0,0.0
['efacdb4bb2bd6128cbb52a3f3fd2e87d1b5ec136'],0.0,0.0
['c9744772f7e024132d9037736e9e7413eb30861b'],0.0,1.0
"['18fac4c123a17fb85b3c363c5054bcefc86d9e07', 'd434cd966d41a805ca03d306a91b484c40b129d7']",0.0,0.0
['b2f3259918159cef4d529cf6550cbb7454327e52'],0.0,0.0
"['10dd2101c9fded5e985bd1fe9f5440e37c27b2ec', '112d0654f398207d05a1a18541030c14e8bdca0a', '22e06505b01250adad21aa9316ee34e91f2286cc', '77057d396a7be50bfe230d7f3b1067b2e2b7db58']",0.0,0.0
['deae39a3c84fd44181222ca5b51899d902710433'],0.0,
['8ab3a139df69943777d69bf6bce01fda46858df3'],0.0,0.0
['21de33ec5c8fea1def39587986032486ae770b39'],0.0,0.0
['fff49f703cb5c22c4735f6bd2bb7f4759d420d20'],0.0,0.0
['48a71dbf4e3007a845aedcfa8c9ed6a7911cc2da'],0.0,0.0
