predict_flag,true_flag,predicted_flag
['5c1e199c5c391326fa146214bbf62633834ac681'],-1.0,1.0
['1684d533b0350154b6928e194f4b287286e03458'],1.0,0.0
['2f896938d2887e44a64768960015ab875aa1db5e'],1.0,1.0
['a1d6d1f2b4bdfb58890afc7a99c69ae933a3b7e6'],1.0,1.0
['7dbe72feb70a34e74d8ffe1c79978583653e2148'],1.0,1.0
['dffd4dd76ab824d74686e41594d27444184a869e'],0.0,1.0
"['049bc824aee2f4e8ca8f0b01985408967d24f070', '6d5e35e707ba2550cc8b10fea19d63ff98ad4b92']",0.0,1.0
['3c9406d6deb5ef8c2b41a1360917f577fcd45e17'],0.0,0.0
['b96a7a0057b5a2fce4681095f1f7776219ff6cef'],1.0,0.0
['31cab6b19bd8378cbd99c56f06aa960854ffaa4f'],1.0,1.0
['675438743b041ffc534d2d4990b2da8f5cc9883f'],0.0,1.0
['be7bf45edbf359f6375d7d1a105f0b77876e6931'],0.0,1.0
['a6346c2e1d872a31fe899638010b38f8d06daf7e'],-1.0,1.0
['ccf27578385e16f67f7c4bb93f78016220b3d722'],0.0,1.0
['e3fc21e67486a521b70207c04b3a20c992593744'],0.0,0.0
['1dc1846fad9adb72dfc8463634091e73e1896dc9'],0.0,1.0
"['3a130cb566d5fd4eb807ee00c4e00735c78a70c8', '8137a182286b88ee51f790df7d1385cff3a116b4']",-1.0,0.0
['744bd290822a5dd9404fa1e9cbc1c9ffed0cc4c8'],-1.0,
['d6101c29bd9dc0627f2f406c75b36585a68e9be3'],1.0,1.0
"['5846bbc8d37509b567e94fa5f40cf74d653fb84a', '75f419599780c2ac392a37effc4c5d43ebfde08d', 'b9eaca8188b3ac54730a846d4290def5e6ab0b5e']",0.0,0.0
['0022a8769fcc213da70693846205165cde7f17c8'],1.0,1.0
['3a41f87299d483945af3a24eb3447607714ab848'],1.0,1.0
['10ce237960809fa954ab8e40e882253a048ec23a'],-1.0,1.0
['356e4d6257fc19ac9a99c5b16fbac90a99c64958'],-1.0,0.0
['3e1c81440b1aa3bc8a44babf057de7ca6b43b1e1'],-1.0,0.0
['9e919658f4c1cba3cb0030a509742b8296659fc1'],-1.0,0.0
['0f2e79d53a9a661f62a5ad224b0b777dfe01d4f5'],1.0,1.0
['91d3fcd677918acb6a34b008be3142f1392a4799'],1.0,1.0
