hitting_rate,missing_rate
0.8506843,0.24059477
0.84775174,0.26639196
0.83162266,0.3043712
0.80596286,0.35417414
0.7900782,0.36725187
0.6378299,0.5347546
0.5913978,0.5687925
0.58064514,0.576675
0.57135874,0.5834826
