hitting_rate,missing_rate
0.29291815,0.24095564
0.2926426,0.25187713
0.27087352,0.31945392
0.25930008,0.3569966
0.225682,0.4443686
0.1824194,0.55153584
0.15899697,0.6095563
0.15155691,0.6279864
0.14384128,0.64709896
